"","object","image","name_agreement","H_statistic","recognition_RT","naming_RT","modalName","modalWordFreq","weightedWordFreq","modalWordLength","weightedWordLength","modalProductionFreq","altName1","altName1ProductionFreq","altName1WordFreq","altName1WordLength","altName2","altName2ProductionFreq","altName2WordFreq","altName2WordLength","altName3","altName3ProductionFreq","altName3WordFreq","altName3WordLength","altName4","altName4ProductionFreq","altName4WordFreq","altName4WordLength","altName5","altName5ProductionFreq","altName5WordFreq","altName5WordLength"
"548","racecar","racecar_4.png",45,1.91497982051648,1427.70111115528,91.7827777901532,"car",5.44,4.16372647735485,3,5.44444444444444,9,"race car",5,2.69573572619459,7,"racing car",4,3.12709949035358,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"549","raspberry","raspberry_1.png",42.8571428571429,1.54515313983491,882.243750020909,95.712999983906,"berry",3.8,4.0247619047619,5,6.23809523809524,9,"fruit",5,4.73,5,"raspberry",7,3.81,8.71428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"550","raspberry","raspberry_2.png",47.6190476190476,1.4373770511116,1233.44921052257,94.0255263137706,"berry",3.8,3.80421052631579,5,6.63157894736842,11,"raspberry",8,3.81,8.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"551","raspberry","raspberry_3.png",45,1.43666648191669,975.478611105416,97.2672222220556,"raspberry",3.81,3.80611111111111,8.81818181818182,7.33333333333333,11,"berry",7,3.8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"552","raspberry","raspberry_4.png",40,1.59546184423832,1027.60842102126,92.9752631416884,"raspberry",3.81,3.90263157894737,8.77777777777778,6.78947368421053,9,"berry",8,3.8,5,"fruit",2,4.73,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"553","robin","robin_1.png",57.1428571428571,1.20091027950953,889.908157923997,94.0447368203294,"robin",4.42,4.592,5,4.6,12,"bird",8,4.85,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"554","robin","robin_2.png",70,1.0762976257252,777.542105275943,88.9526315950521,"robin",4.42,4.53315789473684,5,4.73684210526316,14,"bird",5,4.85,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"555","robin","robin_3.png",66.6666666666667,1.30124078548146,920.804166652006,94.6674999740846,"robin",4.42,4.53315789473684,5,4.73684210526316,14,"bird",5,4.85,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"556","robin","robin_4.png",75,0.991760148180973,952.754999985471,87.9765789662304,"robin",4.42,4.51052631578947,5,4.78947368421053,15,"bird",4,4.85,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"557","rose","rose_1.png",65,1.14115352787931,999.952368446758,97.0902631849703,"flower",4.5,4.54421052631579,6,5.36842105263158,13,"rose",6,4.64,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"558","rose","rose_2.png",61.9047619047619,1.16578405181507,822.171750041696,93.18224997734,"rose",4.64,4.591,4,4.7,13,"flower",7,4.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"559","rose","rose_3.png",80,0.721928094887362,785.182500041418,96.1039999936955,"rose",4.64,4.612,4,4.4,16,"flower",4,4.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"560","rose","rose_4.png",81.8181818181818,0.831543549177066,728.76775000357,88.8350000513798,"rose",4.64,4.62,4,4.28571428571429,18,"flower",3,4.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"561","rowboat","rowboat_1.png",65,1.41664227809565,997.87315788561,84.8810526156881,"boat",4.89,4.28354439956979,4,5.36842105263158,13,"canoe",2,3.5,5,"rowing boat",4,2.70433589795651,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"562","rowboat","rowboat_2.png",75,1.1540157730728,1305.00555554105,88.2791666523733,"boat",4.89,4.65833333333333,4,4.16666666666667,15,"canoe",3,3.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"563","rowboat","rowboat_3.png",42.8571428571429,1.9142650410022,1086.00333331746,94.302777790804,"boat",4.89,3.71421052631579,4,4.94736842105263,9,"canoe",6,3.5,5,"rowboat",4,1.39,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"564","rowboat","rowboat_4.png",75,1.12192809488736,1310.99750000788,100.967187493072,"boat",4.89,4.89,4,4,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"565","satchel","satchel_1.png",57.1428571428571,1.50996861263682,1055.09075001588,95.6694999820771,"bag",4.89,4.102,3,4.6,12,"handbag",2,3.73,7,"satchel",6,2.65,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"566","satchel","satchel_2.png",65,1.14115352787931,1103.66947369607,104.067368433396,"bag",4.89,4.18263157894737,3,4.26315789473684,13,"satchel",6,2.65,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"567","satchel","satchel_3.png",61.9047619047619,1.16578405181507,883.877500019118,98.8482499979284,"bag",4.89,4.106,3,4.4,13,"satchel",7,2.65,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"568","satchel","satchel_4.png",52.3809523809524,1.4373770511116,874.618157867175,90.5960526385683,"bag",4.89,3.94684210526316,3,4.68421052631579,11,"satchel",8,2.65,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"569","saucepan","saucepan_1.png",52.3809523809524,1.41802600556081,1235.71857144422,80.4985714429324,"pan",4.6,4.14619047619048,3,4.66666666666667,11,"pot",3,4.76,3,"saucepan",7,3.17,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"570","saucepan","saucepan_2.png",45,1.36899559358928,991.031052634392,93.7297367982545,"saucepan",3.17,3.9725,8,5.25,9,"pan",9,4.6,3,"pot",2,4.76,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"571","saucepan","saucepan_3.png",42.8571428571429,1.66449777920046,897.358947346229,106.365789466379,"pan",4.6,4.052,3,5,9,"pot",3,4.76,3,"saucepan",8,3.17,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"572","saucepan","saucepan_4.png",47.6190476190476,1.35666951983331,929.20047616228,107.220952406768,"saucepan",3.17,3.93428571428571,8,5.38095238095238,10,"pan",9,4.6,3,"pot",2,4.76,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"573","schooner","schooner_1.png",77.2727272727273,1.11911942312567,1106.95675004011,89.5132499928135,"glass",4.92,4.77428571428571,5,4.90476190476191,17,"cup",2,5.09,3,"goblet",2,3.22,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"574","schooner","schooner_2.png",65,1.61664227809565,1108.09473682952,95.2257894737405,"glass",4.92,4.52704473950153,5,5.31578947368421,13,"cup",2,5.09,3,"goblet",2,3.22,6,"wine glass",2,2.71692502526453,9,NA,NA,NA,NA,NA,NA,NA,NA
"575","schooner","schooner_3.png",75,1.29176014818097,1019.53205881149,99.6667646814732,"glass",4.92,4.68941176470588,5,5.23529411764706,15,"chalice",2,2.96,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"576","schooner","schooner_4.png",76.1904761904762,1.24946027992162,918.529444432404,83.0930555698918,"glass",4.92,4.93888888888889,5,4.77777777777778,16,"cup",2,5.09,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"577","seahorse","seahorse_1.png",95,0.286396957115956,1058.85972224947,94.6233332847251,"seahorse",2.8,2.8,8,8,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"578","seahorse","seahorse_2.png",100,0,797.475749996685,85.8967500051884,"seahorse",2.8,2.8,8,8,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"579","seahorse","seahorse_3.png",95.2380952380952,0.276195427647939,804.926315778984,100.240526317767,"seahorse",2.8,2.8,8,8,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"580","seahorse","seahorse_4.png",85,0.286396957115956,805.748888906931,77.528055585557,"seahorse",2.8,2.8,7.94444444444444,7.94444444444445,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"581","seaturtle","seaturtle_1.png",100,0,1357.90249998173,102.132500016183,"turtle",3.64,3.64,6,6,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"582","seaturtle","seaturtle_2.png",95.2380952380952,0.276195427647939,1047.03249999507,97.8707499981494,"turtle",3.64,3.64,6,6,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"583","seaturtle","seaturtle_3.png",100,0,1092.98738098485,103.790000014785,"turtle",3.64,3.64,6,6,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"584","seaturtle","seaturtle_4.png",90,0.286396957115956,1003.43078945411,96.3915789202738,"turtle",3.64,3.64,6,6,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"585","seaweed","seaweed_1.png",61.9047619047619,1.49738520500708,1265.67208331689,86.224583365741,"seaweed",3.83,3.83,7,7,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"586","seaweed","seaweed_2.png",42.8571428571429,2.64112093381302,1258.49437505804,99.1056250040856,"seaweed",3.83,3.83,7,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"587","seaweed","seaweed_3.png",57.1428571428571,1.25771482149539,1513.66818179901,87.685000010192,"seaweed",3.83,3.83,7.09090909090909,7.09090909090909,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"588","seaweed","seaweed_4.png",52.3809523809524,1.84900708801444,2114.97950006499,92.7959999560146,"seaweed",3.83,3.83,7,7,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"589","sedan","sedan_1.png",100,0,700.380250021681,98.2507499685809,"car",5.44,5.44,3,3,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"590","sedan","sedan_2.png",100,0,1033.1015789499,109.017631591809,"car",5.44,5.44,3,3,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"591","sedan","sedan_3.png",100,0,734.691500006041,95.5887499963443,"car",5.44,5.44,3,3,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"592","sedan","sedan_4.png",100,0,790.743571448151,99.3988094922436,"car",5.44,5.44,3,3,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
